,0,1
826,同性,28
827,投,28
828,換,28
829,掌櫃,28
830,肛,27
831,屁股,27
832,扯,27
833,解決,27
834,給我,27
835,專業,27
836,教育,27
837,領,27
838,壓力,27
839,靠北,27
840,貼,27
841,姐姐,27
842,收到,27
843,通知,27
844,所謂,27
845,頭,27
846,辛苦,27
847,正妹,27
848,順便,27
849,整天,27
850,底下,27
851,聊天,27
852,意外,27
853,便當,27
854,稍微,27
855,時段,27
856,上傳,27
857,主要,27
858,值得,27
859,補宿,27
860,提出,27
861,保證,27
862,面試,27
863,現場,27
864,坐,27
865,單車,27
866,放棄,27
867,酒,27
868,着,27
869,像是,26
870,我大,26
871,蟑螂,26
872,早就,26
873,牌,26
874,行,26
875,性別,26
876,半夜,26
877,認同,26
878,棒,26
879,隔壁,26
880,眼睛,26
881,床位,26
882,男人,26
883,看法,26
884,好吃,26
885,反應,26
886,確實,26
887,造成,26
888,資工,26
889,概念,26
890,緊張,26
891,環境,26
892,課本,26
893,外系,26
894,每年,26
895,思考,25
896,嚴重,25
897,光復,25
898,尤其,25
899,貴,25
900,不難,25
901,測驗,25
902,兩次,25
903,曾經,25
904,陳,25
905,女孩,25
906,單身,25
907,自然,25
908,臺灣,25
909,中文,25
910,程式,25
911,設計,25
912,安安,25
913,連結,25
914,到時候,25
915,辦理,25
916,雞雞,25
917,廁所,25
918,蓋,25
919,服務,25
920,有錢,25
921,睡覺,25
922,電話,25
923,兩,25
924,館,25
925,母湯,25
926,解答,25
927,人數,25
928,升,25
929,停車場,25
930,帳戶,25
931,數學系,25
932,小安,25
933,魚,25
934,路過,25
935,家,24
936,不去,24
937,科技,24
938,身邊,24
939,帥哥,24
940,號,24
941,電費,24
942,定義,24
943,興奮,24
944,撿,24
945,乖乖,24
946,撞,24
947,論文,24
948,爬文,24
949,同樣,24
950,晚餐,24
951,聽過,24
952,說明,24
953,回應,24
954,非,24
955,完成,24
956,補充,24
957,敬業,24
958,翹,24
959,幹部,24
960,住宿,24
961,機械系,24
962,樓主,24
963,舒服,24
964,學雜費,24
965,實力,24
966,你媽,24
967,霸凌,23
968,風氣,23
969,育樂,23
970,挑,23
971,派,23
972,當作,23
973,薪水,23
974,好多,23
975,改變,23
976,生物,23
977,誒,23
978,當天,23
979,放在,23
980,高分,23
981,火車站,23
982,勝八,23
983,一篇,23
984,噢,23
985,拒絕,23
986,小孩,23
987,問卷,23
988,宣傳,23
989,進行,23
990,還不,23
991,室,23
992,習慣,23
993,免修,23
994,多益,23
995,午餐,23
996,賣,23
997,工學院,23
998,搭,23
999,風向,23
1000,戰爭,23
1001,標題,23
1002,表現,23
1003,標準,23
1004,匿名,23
1005,日文,23
1006,課表,23
1007,科目,23
1008,假設,23
1009,裏,23
1010,註冊組,23
1011,成為,23
1012,獨立,23
1013,煮,23
1014,勒,22
1015,不好意思,22
1016,退學,22
1017,一間,22
1018,美,22
1019,子,22
1020,只好,22
1021,開玩笑,22
1022,救,22
1023,萬,22
1024,理工,22
1025,大學部,22
1026,吉,22
1027,柴柴,22
1028,外,22
1029,乾淨,22
1030,篇,22
1031,路線,22
1032,有用,22
1033,嘶,22
1034,聯絡,22
1035,這門,22
1036,洗澡,22
1037,沒想到,22
1038,總,22
1039,阿姨,22
1040,規劃,22
1041,誇張,22
1042,練,22
1043,主動,22
1044,實驗,22
1045,你家,22
1046,告知,22
1047,余,22
1048,技術,22
1049,團體,22
1050,團隊,22
1051,答案,22
1052,條件,22
1053,接觸,22
1054,腦袋,22
1055,性,22
1056,很棒,22
1057,步驟,22
1058,講義,22
1059,查詢,22
1060,同系,21
1061,階段,21
1062,兇,21
1063,下午,21
1064,許多,21
1065,人才,21
1066,念,21
1067,說法,21
1068,牙醫,21
1069,當個,21
1070,兄弟,21
1071,搞不好,21
1072,理,21
1073,分組,21
1074,訊息,21
1075,放火,21
1076,心態,21
1077,企管,21
1078,破,21
1079,攻擊,21
1080,蹲,21
1081,殺,21
1082,流程,21
1083,飲料,21
1084,看著,21
1085,完整,21
1086,請假,21
1087,錯誤,21
1088,媽媽,21
1089,律師,21
1090,郵局,21
1091,槍,21
1092,懶人,21
1093,理性,21
1094,成績單,21
1095,學生會,21
1096,生氣,21
1097,想想,21
1098,三年,21
1099,解釋,21
1100,紅紅的,21
1101,規則,21
1102,信,21
1103,反核,21
1104,成大有,21
1105,獲得,21
1106,校長,21
1107,額滿,21
1108,衝堂,21
1109,導航,21
1110,漂亮,21
1111,藥學系,21
1112,醫學院,20
1113,份,20
1114,真假,20
1115,工讀生,20
1116,遊戲,20
1117,忘,20
1118,身為,20
1119,人要,20
1120,發展,20
1121,公司,20
1122,越來越,20
1123,唸書,20
1124,永遠,20
1125,清,20
1126,風險,20
1127,感動,20
1128,中間,20
1129,免費,20
1130,看不到,20
1131,國立,20
1132,醬料,20
1133,歐,20
1134,體驗,20
1135,吼,20
1136,顏色,20
1137,水,20
1138,懷疑,20
1139,轉到,20
1140,床,20
1141,要繳,20
1142,笑話,20
1143,剩下,20
1144,家裡,20
1145,第一個,20
1146,信箱,20
1147,以來,20
1148,推推,20
1149,發電,20
1150,安全,20
1151,做好,20
1152,戶頭,20
1153,這堂,20
1154,余世暄,20
1155,匯款,20
1156,似乎,20
1157,霖,20
1158,變得,20
1159,榴槤,20
1160,愛情,20
1161,畢業證書,20
1162,退選,20
1163,最大,20
1164,四大,20
1165,榨,20
1166,住宿費,20
1167,給分,20
1168,化學,20
1169,班,20
1170,二外,20
1171,法,20
1172,自強,20
1173,江林,20
1174,媽的,19
1175,當年,19
1176,過來,19
1177,請教,19
1178,臺,19
1179,國外,19
1180,例子,19
1181,女人,19
1182,秒,19
1183,最高,19
1184,很會,19
1185,高雄,19
1186,導致,19
1187,帥,19
1188,一人,19
1189,教室,19
1190,臉上,19
1191,符合,19
1192,瘋狂,19
1193,沒用,19
1194,翻,19
1195,食物,19
1196,貓咪,19
1197,餵,19
1198,外語,19
1199,搬,19
1200,粉,19
1201,懶,19
1202,助教,19
1203,表演,19
1204,爸媽,19
1205,速度,19
1206,雞,19
1207,抵,19
1208,對不起,19
1209,男女,19
1210,無,19
1211,確認,19
1212,詢問,19
1213,期中,19
1214,用心,19
1215,趴,19
1216,人類,19
1217,期末考,19
1218,文化,19
1219,加選,19
1220,以外,19
1221,不繳,19
1222,人會,19
1223,融合,19
1224,柴,19
1225,家教,19
1226,捷運,19
1227,媽騙,19
1228,克,19
1229,辣,18
1230,卦,18
1231,人員,18
1232,光一,18
1233,這點,18
1234,幾年,18
1235,聰明,18
1236,發問,18
1237,管理員,18
1238,禮貌,18
1239,宅,18
1240,屬於,18
1241,打扮,18
1242,哦哦哦,18
1243,兩年,18
1244,老闆,18
1245,繳了,18
1246,宵夜,18
1247,問課,18
1248,智商,18
1249,建立,18
1250,噗,18
1251,正在,18
1252,兩位,18
1253,重,18
1254,拍拍,18
1255,一隻,18
1256,生命,18
1257,案例,18
1258,協會,18
1259,晚,18
1260,表達,18
1261,太陽,18
1262,喊,18
1263,旁聽,18
1264,明顯,18
1265,工程,18
1266,實際,18
1267,知識,18
1268,好不好,18
1269,一生,18
1270,總是,18
1271,好友,18
1272,公布,18
1273,價值觀,18
1274,普通,18
1275,針對,18
1276,這句,18
1277,女神,18
1278,不見,18
1279,併,18
1280,學費,18
1281,選到,18
1282,版上,18
1283,差別,18
1284,透過,18
1285,物理系,18
1286,學籍,18
1287,自由,18
1288,交到,18
1289,修課,18
1290,體育課,18
1291,飛撲,18
1292,友會,18
1293,戰校,18
1294,游泳,17
1295,有空,17
1296,進不去,17
1297,還敢,17
1298,面對,17
1299,真心,17
1300,捏,17
1301,少數,17
1302,爸,17
1303,分析,17
1304,猛,17
1305,參與,17
1306,是從,17
1307,態度,17
1308,脫魯,17
1309,問個,17
1310,過的,17
1311,在家,17
1312,化,17
1313,干,17
1314,過程,17
1315,家人,17
1316,心,17
1317,個性,17
1318,放心,17
1319,累,17
1320,普物,17
1321,歲,17
1322,蔡,17
1323,演講,17
1324,我用,17
1325,陪,17
1326,偷偷,17
1327,要來,17
1328,優質,17
1329,危險,17
1330,言論,17
1331,天龍,17
1332,一件,17
1333,下雨,17
1334,點名,17
1335,計算,17
1336,第二,17
1337,異性,17
1338,道歉,17
1339,叫做,17
1340,問過,17
1341,關鍵字,17
1342,佔,17
1343,台文系,17
1344,觀察,17
1345,語言,17
1346,熱水,17
1347,酸,17
1348,滿足,17
1349,些,17
1350,上台,17
1351,事件,17
1352,剩,17
1353,指考,17
1354,學測,17
1355,清交,17
1356,迎新,17
1357,躺,17
1358,中山,17
1359,金門,17
1360,外文系,17
1361,心理,17
1362,繳系,17
1363,系會,17
1364,論證,17
1365,一邊,16
1366,報,16
1367,長榮,16
1368,那天,16
1369,可不可以,16
1370,自慰,16
1371,所說,16
1372,幾篇,16
1373,頂尖,16
1374,屁,16
1375,真相,16
1376,爺爺,16
1377,太多,16
1378,嘴巴,16
1379,打工,16
1380,明白,16
1381,口,16
1382,揪,16
1383,台女,16
1384,丟,16
1385,同一個,16
1386,級,16
1387,女兒,16
1388,不知,16
1389,五樓,16
1390,還想,16
1391,發廢文,16
1392,位置,16
1393,權利,16
1394,唱,16
1395,自稱,16
1396,仔細,16
1397,雲平,16
1398,大樓,16
1399,打開,16
1400,輔系,16
1401,那間,16
1402,寢室,16
1403,禁止,16
1404,退掉,16
1405,心裡,16
1406,顯示,16
1407,牛奶,16
1408,關注,16
1409,還說,16
1410,藏頭,16
1411,健康,16
1412,方向,16
1413,很快,16
1414,看成,16
1415,無腦,16
1416,整理,16
1417,光口,16
1418,報名費,16
1419,在意,16
1420,賺錢,16
1421,臉書,16
1422,那位,16
1423,計畫,16
1424,取消,16
1425,治療,16
1426,被當,16
1427,每堂,16
1428,加分,16
1429,恭喜,16
1430,重新,16
1431,勝一,16
1432,幽默,16
1433,寄信,16
1434,學貸,16
1435,幻想,16
1436,餘額,16
1437,挖,16
1438,鄰居,16
1439,小考,16
1440,貸,16
1441,打壓,16
1442,說道,16
1443,線上,16
1444,糞系,16
1445,幼稚園,16
1446,大生,15
1447,下次,15
1448,預約,15
1449,領取,15
1450,分級,15
1451,筆電,15
1452,道理,15
1453,價值,15
1454,更好,15
1455,十年,15
1456,考不上,15
1457,制度,15
1458,相對,15
1459,醬,15
1460,中午,15
1461,騎車,15
1462,黑人,15
1463,歷史系,15
1464,求解,15
1465,空氣,15
1466,碩班,15
1467,藥學,15
1468,沒救,15
1469,急,15
1470,自我,15
1471,感到,15
1472,隔天,15
1473,消失,15
1474,說不定,15
1475,理論,15
1476,取得,15
1477,權益,15
1478,交往,15
1479,兩種,15
1480,要選,15
1481,受,15
1482,用來,15
1483,限時,15
1484,多一點,15
1485,熟,15
1486,喇幹,15
1487,皆,15
1488,英文課,15
1489,超越,15
1490,蛋糕,15
1491,來回,15
1492,班上,15
1493,溫暖,15
1494,社,15
1495,留,15
1496,摸,15
1497,早,15
1498,中立,15
1499,主張,15
1500,充滿,15
1501,工讀,15
1502,一堂課,15
1503,父母,15
1504,螢幕,15
1505,實際上,15
1506,金額,15
1507,合作,15
1508,套,15
1509,瘦,15
1510,爭取,15
1511,檯燈,15
1512,看見,15
1513,一位,15
1514,動漫,15
1515,文字,15
1516,合法,15
1517,臭甲,15
1518,發言,15
1519,改成,15
1520,娘,15
1521,充實,15
1522,工數,15
1523,說真的,15
1524,點數,15
1525,羨慕,15
1526,沒修,15
1527,做事,15
1528,醫牙,15
1529,爆氣,15
1530,廢死,15
1531,祝,15
1532,超修,15
1533,肯定,15
1534,轉過,15
1535,來自,15
1536,火球,15
1537,放榜,15
1538,營,15
1539,娑婆,15
1540,排擠,14
1541,都還沒,14
1542,快點,14
1543,不太好,14
1544,政,14
1545,勝利路,14
1546,劈,14
1547,立場,14
1548,相同,14
1549,行動,14
1550,省,14
1551,曬,14
1552,居民,14
1553,打手槍,14
1554,出路,14
1555,地位,14
1556,耍,14
1557,含,14
1558,妳是,14
1559,那篇,14
1560,丟臉,14
1561,聊,14
1562,信件,14
1563,先說,14
1564,二樓,14
1565,勝九,14
1566,感情,14
1567,實說,14
1568,搜尋,14
1569,之外,14
1570,板,14
1571,比例,14
1572,瞭解,14
1573,他媽的,14
1574,刪掉,14
1575,講的,14
1576,批評,14
1577,髒,14
1578,場,14
1579,提,14
1580,早點,14
1581,裡的,14
1582,騷擾,14
1583,兩天,14
1584,缺點,14
1585,前提,14
1586,地上,14
1587,抱,14
1588,還錢,14
1589,登入,14
1590,壓,14
1591,隊輔,14
1592,困難,14
1593,吸,14
1594,強迫,14
1595,避免,14
1596,式,14
1597,公分,14
1598,圖片,14
1599,很煩,14
1600,十分,14
1601,即可,14
1602,低卡,14
1603,咧,14
1604,陰莖,14
1605,方面,14
1606,背景,14
1607,期間,14
1608,關,14
1609,快樂,14
1610,拖,14
1611,裝,14
1612,說出,14
1613,繳費,14
1614,擋,14
1615,記錯,14
1616,房子,14
1617,褲子,14
1618,很慘,14
1619,全校,14
1620,想學,14
1621,船舶,14
1622,新聞,14
1623,第三階段,14
1624,排版,14
1625,沒上,14
1626,地震,14
1627,清大,14
1628,露系,14
1629,想轉,14
1630,曉得,14
1631,問他,14
1632,公審,14
1633,狄卡,14
1634,單獨,14
1635,咖,14
1636,生活費,14
1637,使者,14
1638,消費者,14
1639,訶,14
1640,合理,13
1641,護航,13
1642,多久,13
1643,學院,13
1644,勿,13
1645,幸好,13
1646,老婆,13
1647,長相,13
1648,特殊,13
1649,櫃子,13
1650,觀念,13
1651,消息,13
1652,高中生,13
1653,使,13
1654,最低,13
1655,數,13
1656,二類,13
1657,全,13
1658,一顆,13
1659,回到,13
1660,漸漸,13
1661,糞,13
1662,大聲,13
1663,我來,13
1664,姊,13
1665,補強,13
1666,來到,13
1667,純血,13
1668,原住民,13
1669,保障,13
1670,一時,13
1671,假裝,13
1672,研究生,13
1673,碩士,13
1674,洗上來,13
1675,我大一,13
1676,開課,13
1677,國文課,13
1678,筆記,13
1679,射,13
1680,滑,13
1681,觀點,13
1682,企管系,13
1683,傻,13
1684,網頁,13
1685,主觀,13
1686,進入,13
1687,很爛,13
1688,宿委,13
1689,再次,13
1690,聲,13
1691,貓,13
1692,咬,13
1693,牠,13
1694,車,13
1695,花錢,13
1696,浪費時間,13
1697,開門,13
1698,理組,13
1699,翻譯,13
1700,八大,13
1701,問的,13
1702,安排,13
1703,過文,13
1704,公開,13
1705,重複,13
1706,話題,13
1707,翹課,13
1708,交通,13
1709,友善,13
1710,主題,13
1711,敬一,13
1712,洗版,13
1713,錄取,13
1714,受到,13
1715,水準,13
1716,一屆,13
1717,延畢,13
1718,塊,13
1719,第一天,13
1720,男性,13
1721,這也,13
1722,聯誼,13
1723,數據,13
1724,交換,13
1725,呦,13
1726,輸,13
1727,平台,13
1728,人們,13
1729,拼,13
1730,內褲,13
1731,手上,13
1732,病人,13
1733,小學,13
1734,感,13
1735,原原,13
1736,墊,13
1737,收據,13
1738,勝三,13
1739,中肯,13
1740,表,13
1741,思想,13
1742,刺激,13
1743,做到,13
1744,文學,13
1745,交大,13
1746,追求,13
1747,年紀,13
1748,學士,13
1749,一遍,13
1750,神,13
1751,已讀,13
1752,男森,13
1753,企業,13
1754,土木系,13
1755,球,13
1756,潛水,13
1757,偉哥,13
1758,想像,13
1759,轉入,13
1760,登錄,13
1761,水利系,13
1762,維持現狀,13
1763,妓女,13
1764,起床,12
1765,發現自己,12
1766,幾點,12
1767,暑修,12
1768,年輕,12
1769,警察,12
1770,遠,12
1771,坑,12
1772,家庭,12
1773,關心,12
1774,族群,12
1775,擁有,12
